"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","522.1","334.3","3,915.1","29.0","10.5","115.7","572.0","10.6","3.4","376.6"
"Lamar Jackson","BAL","480.7","320.0","3,900.6","32.5","8.3","138.5","832.5","4.1","4.5","376.3"
"Jalen Hurts","PHI","461.4","311.6","3,502.9","23.5","8.9","147.3","633.2","12.7","3.9","357.0"
"Jayden Daniels","WAS","535.5","363.9","3,895.0","26.8","10.7","136.7","747.2","5.6","2.5","355.4"
"Joe Burrow","CIN","629.2","435.5","4,647.3","36.4","10.5","48.2","180.3","2.1","3.8","343.7"
"Patrick Mahomes II","KC","605.3","409.2","4,227.8","29.9","12.2","76.3","357.8","2.8","2.5","324.4"
"Baker Mayfield","TB","558.5","387.0","4,193.3","33.1","14.7","64.2","287.6","2.6","3.9","321.5"
"Kyler Murray","ARI","543.5","371.2","3,857.7","23.9","11.2","88.6","539.0","5.1","3.8","315.5"
"Brock Purdy","SF","526.5","351.1","4,280.8","27.1","12.7","65.2","277.2","3.4","2.9","309.4"
"Bo Nix","DEN","560.6","366.5","3,806.3","27.3","12.1","88.4","420.6","3.5","2.0","308.5"
"Justin Fields","NYJ","506.0","314.6","3,294.0","19.7","11.2","128.0","716.8","6.1","3.8","299.6"
"Jared Goff","DET","554.5","383.8","4,397.2","31.2","11.5","32.7","68.9","0.6","2.9","293.9"
"J.J. McCarthy","MIN","564.0","367.4","4,039.4","28.3","14.5","55.6","260.6","1.7","3.8","288.9"
"Dak Prescott","DAL","600.6","394.9","4,214.3","27.4","12.0","42.6","175.3","1.9","3.0","288.8"
"Justin Herbert","LAC","534.8","351.2","3,932.9","25.4","8.4","64.2","272.1","2.6","2.5","288.1"
"Caleb Williams","CHI","562.5","357.5","3,744.3","23.4","10.3","87.4","471.8","2.4","4.5","286.0"
"Jordan Love","GB","511.0","327.9","3,920.9","28.0","12.2","40.3","163.4","1.9","2.5","278.9"
"C.J. Stroud","HOU","556.6","358.1","4,032.7","24.8","10.8","59.1","258.1","1.7","3.7","278.1"
"Trevor Lawrence","JAC","552.8","354.1","3,951.7","22.9","13.2","54.8","251.6","3.0","4.1","271.8"
"Drake Maye","NE","520.2","346.4","3,534.8","21.6","12.9","76.4","481.6","3.0","4.8","271.3"
"Matthew Stafford","LAR","563.8","370.1","4,121.6","26.4","11.0","30.0","71.3","0.5","2.8","264.1"
"Michael Penix Jr.","ATL","541.8","345.2","3,893.3","23.6","13.2","52.1","196.5","2.1","3.2","262.7"
"Tua Tagovailoa","MIA","576.4","400.1","4,122.1","25.9","12.0","26.8","80.5","0.5","3.6","260.5"
"Geno Smith","LV","567.2","380.6","3,955.8","21.8","13.7","54.4","237.7","1.7","2.8","260.0"
"Sam Darnold","SEA","556.9","364.7","3,932.8","23.5","14.5","57.6","201.7","1.8","3.8","260.0"
"Cameron Ward","TEN","520.5","331.9","3,593.4","21.5","13.9","74.2","330.3","2.3","4.1","255.0"
"Bryce Young","CAR","550.5","349.2","3,533.9","20.7","12.2","53.7","297.5","3.1","3.5","253.3"
"Aaron Rodgers","PIT","543.3","348.5","3,750.4","23.3","9.7","22.4","83.2","0.4","2.8","238.9"
"Anthony Richardson Sr.","IND","355.5","197.7","2,501.6","14.6","11.6","98.4","530.2","5.1","3.9","222.7"
"Russell Wilson","NYG","435.1","277.8","2,882.6","15.5","8.3","52.6","214.1","1.9","2.6","196.4"
"Tyler Shough","NO","425.2","265.3","2,778.8","15.6","11.1","46.8","219.2","1.7","3.0","188.5"
"Joe Flacco","CLE","252.6","161.5","1,853.5","9.4","7.0","6.5","29.9","0.5","1.7","107.5"
"Daniel Jones","IND","194.7","120.5","1,209.6","6.4","4.2","40.9","167.0","1.4","1.2","92.1"
"Spencer Rattler","NO","156.6","95.8","1,004.3","4.9","3.9","19.5","108.3","0.4","1.6","65.7"
"Kenny Pickett","CLE","217.2","133.6","1,052.8","4.9","4.6","16.2","40.0","0.4","0.6","62.3"
"Dillon Gabriel","CLE","172.3","107.0","957.9","4.6","3.7","15.8","57.4","0.4","1.4","58.5"
"Jaxson Dart","NYG","120.0","75.2","814.8","4.6","3.4","14.5","67.2","0.7","1.1","56.0"
"Shedeur Sanders","CLE","133.0","80.7","756.7","4.0","3.1","15.8","50.8","0.4","1.0","48.6"
"Jalen Milroe","SEA","14.3","9.0","172.5","1.0","1.0","23.7","113.5","1.0","0.3","26.6"
"Mason Rudolph","PIT","20.4","13.5","232.9","1.5","1.1","18.8","70.8","0.5","0.0","24.3"
"Malik Willis","GB","23.4","14.8","179.9","1.1","0.3","6.1","35.5","0.5","0.0","17.7"
"Deshaun Watson","CLE","0.0","0.0","197.5","1.0","1.0","0.0","23.5","0.5","0.0","16.3"
"Jameis Winston","NYG","29.0","18.3","255.3","1.5","1.3","2.3","10.5","0.0","0.0","16.0"
