"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Saquon Barkley","PHI","327.8","1,667.2","10.8","41.9","317.8","2.2","1.4","273.7"
"Bijan Robinson","ATL","304.1","1,418.7","11.4","57.7","438.4","2.2","1.4","264.4"
"Jahmyr Gibbs","DET","240.0","1,239.8","11.7","57.7","506.9","2.8","1.3","258.7"
"Derrick Henry","BAL","302.0","1,534.7","13.5","16.4","152.5","0.9","1.4","252.3"
"Christian McCaffrey","SF","243.5","1,103.9","8.0","65.0","564.1","3.5","1.8","232.2"
"Jonathan Taylor","IND","310.4","1,412.1","10.6","28.6","205.1","1.3","1.6","230.1"
"Josh Jacobs","GB","290.6","1,232.4","11.5","37.9","315.9","1.5","1.5","229.2"
"Ashton Jeanty","LV","272.8","1,219.7","9.0","45.9","362.4","1.9","2.4","218.5"
"Kyren Williams","LAR","284.5","1,223.7","11.5","33.7","213.6","1.7","2.3","217.9"
"De'Von Achane","MIA","214.2","1,000.7","7.4","68.3","503.1","3.9","1.3","215.2"
"Bucky Irving","TB","241.6","1,137.3","8.5","44.5","343.8","1.7","1.4","206.3"
"James Cook","BUF","232.1","1,087.7","9.7","31.4","259.0","1.9","1.4","201.6"
"Chase Brown","CIN","242.9","1,011.2","8.1","54.6","382.9","2.7","1.4","201.4"
"James Conner","ARI","217.8","985.2","8.1","40.8","312.8","1.7","1.4","185.2"
"Kenneth Walker III","SEA","239.0","981.8","8.3","42.9","304.5","1.3","1.3","183.3"
"Chuba Hubbard","CAR","246.3","1,087.8","8.0","37.9","230.7","1.0","1.8","182.2"
"Omarion Hampton","LAC","225.0","977.7","8.5","35.7","276.8","1.5","2.1","181.2"
"Breece Hall","NYJ","221.3","988.7","5.8","46.4","380.1","2.1","1.9","180.6"
"Alvin Kamara","NO","223.0","927.3","5.3","62.2","470.0","2.0","1.3","180.4"
"David Montgomery","DET","199.1","836.7","9.0","31.4","257.7","0.9","1.0","166.7"
"D'Andre Swift","CHI","237.0","961.3","6.1","36.6","284.1","1.2","1.1","166.5"
"TreVeyon Henderson","NE","210.6","925.2","5.9","33.7","262.9","1.5","1.7","160.1"
"Tony Pollard","TEN","233.3","979.8","5.5","40.0","257.5","0.9","1.0","160.0"
"Aaron Jones Sr.","MIN","198.2","887.1","4.4","44.8","328.8","2.3","1.8","157.9"
"Isiah Pacheco","KC","203.0","836.0","5.7","33.3","228.2","1.1","1.0","145.0"
"RJ Harvey","DEN","182.5","791.6","5.4","33.6","257.4","1.6","1.3","144.5"
"Joe Mixon","HOU","184.5","736.1","6.6","31.0","237.1","1.3","0.9","143.1"
"Kaleb Johnson","PIT","196.7","828.7","6.4","23.2","178.0","1.0","1.7","141.8"
"Tyrone Tracy Jr.","NYG","189.4","806.8","5.0","35.4","261.0","1.1","1.6","139.8"
"Jaylen Warren","PIT","149.6","682.5","3.6","47.5","347.2","1.1","1.1","129.0"
"Quinshon Judkins","CLE","184.2","754.2","5.0","23.0","173.9","1.0","1.3","126.4"
"Jordan Mason","MIN","163.6","753.7","4.6","16.9","123.5","0.7","0.7","117.9"
"J.K. Dobbins","DEN","145.9","648.7","4.7","29.1","187.5","1.2","1.2","116.8"
"Travis Etienne Jr.","JAC","147.5","596.8","3.9","38.4","284.9","1.2","0.9","116.5"
"Rhamondre Stevenson","NE","154.2","630.2","4.9","27.9","177.5","1.1","1.5","113.8"
"Javonte Williams","DAL","167.8","623.0","4.2","32.8","208.2","0.9","0.6","112.5"
"Austin Ekeler","WAS","89.4","409.2","4.0","44.7","364.4","1.8","1.0","109.9"
"Zach Charbonnet","SEA","129.0","544.4","4.5","32.9","241.8","0.9","0.8","109.6"
"Tank Bigsby","JAC","160.7","654.4","5.2","12.0","87.0","0.2","1.2","104.1"
"Tyjae Spears","TEN","117.2","473.8","3.5","33.4","250.4","1.0","0.9","97.8"
"Rachaad White","TB","107.3","439.5","2.7","36.4","275.6","2.1","1.3","97.8"
"Najee Harris","LAC","129.9","531.6","4.4","20.8","150.3","0.8","0.8","97.7"
"Jerome Ford","CLE","135.4","547.2","2.9","30.8","212.1","0.9","0.8","97.4"
"Cam Skattebo","NYG","120.4","526.6","3.4","24.2","185.9","0.9","1.2","94.7"
"Jacory Croskey-Merritt","WAS","122.7","520.1","4.3","15.7","126.8","0.8","0.5","94.7"
"Trey Benson","ARI","127.3","567.1","3.7","13.7","105.2","0.4","0.9","90.4"
"Nick Chubb","HOU","127.9","522.5","4.6","10.6","80.0","0.4","0.5","89.2"
"Brian Robinson Jr.","WAS","111.3","474.9","4.2","15.5","117.8","0.8","0.9","87.0"
"Jaylen Wright","MIA","135.6","552.9","3.4","14.1","98.2","0.6","1.5","86.0"
"Tyler Allgeier","ATL","119.8","549.3","3.3","12.6","92.3","0.3","0.8","84.3"
"Jaydon Blue","DAL","108.6","475.2","2.9","20.4","158.5","0.8","0.8","84.0"
"Dylan Sampson","CLE","119.0","474.7","2.4","22.8","178.3","0.9","0.8","83.5"
