"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Brock Bowers","LV","106.1","1,129.3","6.1","0.5","149.4"
"George Kittle","SF","76.1","1,030.5","7.5","0.5","146.8"
"Trey McBride","ARI","104.4","1,053.5","5.8","0.5","139.5"
"Sam LaPorta","DET","68.3","765.8","6.8","0.4","116.5"
"Mark Andrews","BAL","58.8","701.8","7.7","0.8","114.8"
"Travis Kelce","KC","81.0","773.6","5.2","0.9","107.1"
"T.J. Hockenson","MIN","74.1","775.7","4.7","0.5","104.6"
"David Njoku","CLE","76.8","738.7","4.9","0.8","101.7"
"Tyler Warren","IND","63.2","681.8","4.7","1.1","95.3"
"Tucker Kraft","GB","55.2","652.7","4.8","0.8","92.5"
"Kyle Pitts Sr.","ATL","50.9","641.7","4.2","0.1","89.2"
"Dallas Goedert","PHI","57.1","632.7","3.9","0.5","85.8"
"Evan Engram","DEN","69.9","625.3","4.2","0.9","85.7"
"Zach Ertz","WAS","57.9","538.0","5.1","0.1","84.0"
"Dalton Kincaid","BUF","57.1","604.3","4.0","0.5","83.7"
"Jake Ferguson","DAL","67.9","622.9","3.8","1.2","82.7"
"Hunter Henry","NE","54.9","574.3","3.9","0.4","79.8"
"Colston Loveland","CHI","53.6","562.5","3.8","0.8","77.4"
"Isaiah Likely","BAL","41.4","491.4","4.8","0.7","76.7"
"Cade Otton","TB","52.0","530.2","4.0","0.5","76.2"
"Brenton Strange","JAC","55.2","550.4","3.3","0.5","73.8"
"Darren Waller","MIA","49.6","545.8","3.2","0.1","73.3"
"Jonnu Smith","PIT","50.4","522.8","3.8","0.9","73.3"
"Mike Gesicki","CIN","51.0","502.8","3.4","0.4","70.0"
"Dalton Schultz","HOU","49.7","509.2","3.1","0.4","68.9"
"Chig Okonkwo","TEN","52.9","527.9","2.9","0.8","68.8"
"Juwan Johnson","NO","47.5","486.5","3.2","0.2","67.4"
"Pat Freiermuth","PIT","49.9","480.5","3.3","0.9","66.2"
"Tyler Higbee","LAR","45.3","424.9","3.7","0.1","64.3"
"Robbie Ouzts","SEA","48.0","477.0","3.0","1.0","63.7"
"Mason Taylor","NYJ","48.1","485.1","2.7","0.8","63.3"
"Theo Johnson","NYG","43.1","472.3","2.7","0.1","63.2"
"Elijah Arroyo","SEA","40.0","423.5","2.8","0.4","58.4"
"Will Dissly","LAC","38.6","378.0","2.5","0.1","53.0"
"Noah Fant","CIN","37.2","381.0","2.4","0.1","52.6"
"Ja'Tavion Sanders","CAR","38.5","389.3","2.1","0.1","51.1"
"Noah Gray","KC","29.6","301.4","2.7","0.0","46.3"
"Tyler Conklin","LAC","33.7","325.7","2.3","0.0","46.2"
"AJ Barner","SEA","32.7","305.0","2.4","0.1","44.8"
"Cole Kmet","CHI","30.2","291.0","2.3","0.4","41.9"
"Austin Hooper","NE","28.7","286.6","1.8","0.4","38.7"
"Foster Moreau","NO","22.3","251.3","1.8","0.1","36.0"
"Dawson Knox","BUF","21.9","238.7","1.9","0.0","35.3"
"Michael Mayer","LV","27.3","253.1","1.6","0.1","34.6"
"Harold Fannin Jr.","CLE","26.5","260.8","1.5","0.4","34.2"
"Terrance Ferguson","LAR","23.0","235.2","1.9","0.4","34.1"
"Josh Oliver","MIN","19.4","203.0","1.6","0.1","30.0"
"Oronde Gadsden II","LAC","19.1","195.2","1.6","0.1","28.8"
"Tommy Tremble","CAR","19.2","184.1","1.7","0.4","27.7"
"Ben Sinnott","WAS","18.8","186.0","1.5","0.1","27.6"
"Luke Musgrave","GB","19.1","186.3","1.4","0.0","27.1"
"Brock Wright","DET","15.0","134.8","2.2","0.0","26.4"
"Gunnar Helm","TEN","20.2","200.8","1.1","0.4","26.1"
"Cade Stover","HOU","16.9","160.5","1.2","0.0","23.3"
"Jeremy Ruckert","NYJ","17.7","153.3","1.2","0.0","22.3"
"Adam Trautman","DEN","12.6","136.7","1.4","0.0","21.8"
"Charlie Woerner","ATL","14.6","139.0","1.1","0.0","20.3"
"Luke Schoonmaker","DAL","14.9","132.7","1.2","0.0","20.1"
"Jelani Woods","IND","8.0","137.0","1.0","0.0","19.7"
"Grant Calcaterra","PHI","12.6","138.9","0.9","0.0","19.0"
"Daniel Bellinger","NYG","14.9","139.8","0.8","0.0","18.9"
"Payne Durham","TB","11.1","109.4","1.2","0.0","18.3"
"Julian Hill","MIA","14.7","133.4","0.9","0.4","18.2"
"Jake Briningstool","KC","12.0","121.0","1.0","0.0","18.1"
"Elijah Higgins","ARI","11.4","110.3","1.1","0.0","17.4"
"Keleki Latu","BUF","10.0","111.0","1.0","0.0","17.1"
"Josh Whyle","TEN","14.5","134.2","0.6","0.0","16.9"
"Darnell Washington","PIT","12.3","123.3","0.7","0.0","16.6"
"Johnny Mundt","JAC","13.4","115.2","0.8","0.0","16.5"
"Connor Heyward","PIT","10.2","87.7","1.2","0.0","15.7"
"Colby Parkinson","LAR","10.6","106.5","0.9","0.0","15.7"
"Drew Ogletree","IND","7.6","97.0","0.8","0.0","14.7"
"Taysom Hill","NO","2.3","22.3","0.0","0.0","13.2"
"Pharaoh Brown","MIA","10.0","93.4","0.5","0.0","12.1"
"Nate Adkins","DEN","7.0","54.8","1.1","0.0","12.0"
"Teagan Quitoriano","ATL","5.5","89.0","0.5","0.0","11.9"
"Lawrence Cager","WAS","5.5","57.0","1.0","0.0","11.7"
"Drew Sample","CIN","9.2","73.6","0.7","0.0","11.4"
"Gavin Bartholomew","MIN","7.0","75.0","0.6","0.0","11.0"
"Brevyn Spann-Ford","DAL","7.3","69.7","0.6","0.0","10.7"
"Lucas Krull","DEN","8.3","79.8","0.4","0.0","10.3"
"Quintin Morris","JAC","7.9","71.5","0.5","0.0","10.3"
"Devin Culp","TB","6.1","65.7","0.6","0.0","10.1"
"Charlie Kolar","BAL","5.7","71.7","0.4","0.0","9.9"
"Tanner McLachlan","CIN","7.0","68.5","0.5","0.0","9.9"
"Hunter Long","JAC","8.4","76.0","0.4","0.0","9.8"
"Giovanni Ricci","MIN","8.0","95.5","0.0","0.0","9.6"
"Brenden Bates","CLE","6.5","61.6","0.5","0.0","9.4"
"John Bates","WAS","5.9","54.9","0.6","0.0","9.3"
"Tanner Conner","MIA","7.5","58.3","0.6","0.0","9.3"
"Blake Whiteheart","CLE","6.5","59.3","0.6","0.0","9.2"
"Kenny Yeboah","DET","6.0","60.5","0.5","0.0","9.0"
"Eric Saubert","SEA","6.8","59.8","0.5","0.0","8.7"
"Luke Lachey","HOU","5.5","56.0","0.5","0.0","8.6"
"Travis Vokolek","ARI","5.5","55.5","0.5","0.0","8.6"
"Tip Reiman","ARI","6.6","60.3","0.4","0.0","8.5"
"Brayden Willis","SF","4.5","54.5","0.5","0.0","8.5"
"Mitchell Evans","CAR","6.3","59.4","0.4","0.0","8.2"
"Stone Smartt","NYJ","5.5","66.7","0.4","0.3","8.2"
"Thomas Fidone II","NYG","5.5","51.5","0.5","0.0","8.2"
"Luke Farrell","SF","6.1","58.9","0.4","0.0","8.1"
"Cam Grandy","CIN","6.2","54.3","0.4","0.0","8.1"
"Caleb Lohner","DEN","5.5","51.0","0.5","0.0","8.1"
"Moliki Matavao","NO","5.0","50.5","0.5","0.0","8.1"
"Jackson Hawes","BUF","5.3","56.8","0.4","0.0","8.0"
"Jared Wiley","KC","5.4","53.1","0.4","0.0","7.6"
"Greg Dulcich","NYG","5.0","53.0","0.3","0.0","7.3"
"Robert Tonyan","KC","4.7","43.0","0.3","0.0","6.3"
"Ian Thomas","LV","4.8","46.8","0.2","0.0","5.9"
"Mo Alie-Cox","IND","3.4","37.2","0.2","0.0","5.2"
"Davis Allen","LAR","4.1","38.4","0.2","0.0","5.1"
"Irv Smith Jr.","HOU","4.0","33.8","0.3","0.0","5.0"
"Dominique Dafney","CAR","3.6","35.4","0.2","0.0","4.6"
"Kylen Granson","PHI","3.0","33.3","0.2","0.0","4.3"
"Tucker Fisk","LAC","3.3","31.8","0.2","0.0","4.1"
"Durham Smythe","CHI","3.6","32.6","0.1","0.0","4.0"
"Tanner Hudson","CIN","3.0","26.7","0.2","0.0","3.6"
"Erick All Jr.","CIN","2.4","20.8","0.2","0.0","3.1"
"Zach Davidson","BUF","1.9","19.1","0.2","0.0","2.9"
"Jack Stoll","NO","2.5","23.7","0.0","0.0","2.6"
"David Martin-Robinson","TEN","1.9","18.6","0.1","0.0","2.6"
"Feleipe Franks","ATL","1.8","17.7","0.1","0.0","2.5"
"James Mitchell","CAR","1.8","17.8","0.1","0.0","2.3"
"Chris Manhertz","NYG","1.9","18.4","0.1","0.0","2.2"
"Will Mallory","IND","1.3","11.7","0.1","0.0","1.5"
"Nick Vannett","MIN","1.0","10.0","0.0","0.0","1.0"
"Harrison Bryant","HOU","0.5","5.5","0.0","0.0","0.6"
"Tyree Jackson","WAS","0.0","0.0","0.0","0.0","0.0"
"Stephen Carlson","CHI","0.0","0.0","0.0","0.0","0.0"
"Donald Parham Jr.","PIT","0.0","0.0","0.0","0.0","0.0"
"Josiah Deguara","ARI","0.0","0.0","0.0","0.0","0.0"
"Albert Okwuegbunam Jr.","LV","0.0","0.0","0.0","0.0","0.0"
"Sean McKeon","IND","0.0","0.0","0.0","0.0","0.0"
"Matt Sokol","BUF","0.0","0.0","0.0","0.0","0.0"
"Brevin Jordan","HOU","0.0","0.0","0.0","0.0","0.0"
"Shane Zylstra","DET","0.0","0.0","0.0","0.0","0.0"
"Tyler Mabry","CAR","0.0","0.0","0.0","0.0","0.0"
