"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Ja'Marr Chase","CIN","119.5","1,545.9","12.0","1.6","11.5","0.0","0.6","226.7"
"Justin Jefferson","MIN","103.8","1,453.8","9.2","0.5","3.6","0.0","0.6","199.9"
"Puka Nacua","LAR","105.7","1,373.7","6.6","10.7","61.5","0.6","0.6","185.6"
"CeeDee Lamb","DAL","109.8","1,328.6","7.6","9.2","59.3","0.3","1.0","184.4"
"Brian Thomas Jr.","JAC","90.7","1,267.8","8.4","3.8","25.3","0.0","0.6","178.4"
"Amon-Ra St. Brown","DET","108.9","1,249.9","8.9","1.9","12.6","0.1","0.9","178.3"
"Nico Collins","HOU","89.4","1,281.0","8.5","0.0","1.4","0.0","0.5","178.2"
"Malik Nabers","NYG","104.8","1,279.1","7.7","2.5","11.6","0.0","0.6","174.4"
"Ladd McConkey","LAC","93.6","1,248.6","7.6","0.0","1.4","0.0","0.7","169.4"
"A.J. Brown","PHI","80.9","1,195.6","8.1","0.0","0.0","0.0","0.9","166.6"
"Mike Evans","TB","79.1","1,068.0","9.9","0.6","2.8","0.0","0.5","165.5"
"Drake London","ATL","92.7","1,162.3","7.8","0.3","2.0","0.0","0.6","162.2"
"Tyreek Hill","MIA","92.1","1,136.5","7.5","7.2","33.3","0.1","0.6","161.6"
"Tee Higgins","CIN","85.7","1,088.1","8.8","0.0","0.0","0.0","0.9","159.7"
"Terry McLaurin","WAS","82.7","1,103.7","8.3","1.1","4.5","0.0","0.9","159.2"
"Davante Adams","LAR","84.8","1,087.0","8.3","0.3","0.0","0.0","0.5","157.2"
"Marvin Harrison Jr.","ARI","78.2","1,084.3","7.7","0.0","0.0","0.0","1.0","152.7"
"DK Metcalf","PIT","75.6","1,109.8","7.2","0.0","0.0","0.0","1.3","151.8"
"Jaxon Smith-Njigba","SEA","92.7","1,085.3","6.4","2.6","17.7","0.0","0.6","148.0"
"Zay Flowers","BAL","74.7","1,023.2","6.3","8.2","48.4","0.1","0.5","144.6"
"Courtland Sutton","DEN","75.9","1,006.4","7.4","0.0","0.2","0.0","0.9","143.3"
